127.0.0.1 - - [30/Sep/2019:12:33:36 +0200] "GET / HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [30/Sep/2019:12:33:38 +0200] "GET /Oblig2/servlet/no.hvl.dat108.LoginServlet HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [30/Sep/2019:12:33:48 +0200] "GET /login HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [30/Sep/2019:12:34:00 +0200] "GET /Oblig2/login HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [30/Sep/2019:12:34:05 +0200] "POST /Oblig2/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:12:34:05 +0200] "GET /Oblig2/liste HTTP/1.1" 200 347
0:0:0:0:0:0:0:1 - - [30/Sep/2019:12:34:06 +0200] "POST /Oblig2/liste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:12:34:06 +0200] "GET /Oblig2/liste HTTP/1.1" 200 485
0:0:0:0:0:0:0:1 - - [30/Sep/2019:12:34:08 +0200] "POST /Oblig2/liste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:12:34:08 +0200] "GET /Oblig2/liste HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [30/Sep/2019:12:34:47 +0200] "POST /Oblig2/liste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:12:34:47 +0200] "GET /Oblig2/login?feilkode=3 HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [30/Sep/2019:12:43:07 +0200] "GET /Oblig2/login?feilkode=3 HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:08:06 +0200] "POST /Oblig2/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:08:06 +0200] "GET /Oblig2/liste HTTP/1.1" 200 347
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:08:09 +0200] "POST /Oblig2/liste HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2019:13:08:09 +0200] "GET /Oblig2/liste HTTP/1.1" 200 347
